epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.8138726353645325,0.4058026671409607,0.8811278939247131,0.827521800994873,0.6924425959587097,0.6970057487487793,0.8421180844306946,0.6064165234565735
1,0.9095902442932129,0.22367332875728607,0.94718337059021,0.9128982424736023,0.7583174109458923,0.5730260610580444,0.8194942474365234,0.7712569832801819
2,0.9399206638336182,0.15572768449783325,0.9653263688087463,0.9421312808990479,0.8015784621238708,0.5407949090003967,0.8493331670761108,0.8178033232688904
3,0.9547759890556335,0.11980263888835907,0.9743499755859375,0.9561372995376587,0.7925170063972473,0.5757660865783691,0.8570952415466309,0.789402186870575
4,0.9631648659706116,0.09902419149875641,0.9793620705604553,0.9640882611274719,0.8208439350128174,0.5601072907447815,0.8628115057945251,0.8377016186714172
5,0.9686891436576843,0.08535289019346237,0.9824835062026978,0.9694899916648865,0.8089392185211182,0.5478909611701965,0.8660170435905457,0.8102208971977234
6,0.9722142219543457,0.0759245902299881,0.9845510125160217,0.9728511571884155,0.7903911471366882,0.6368094682693481,0.8824162483215332,0.7548649907112122
7,0.9748647809028625,0.06844256073236465,0.9858371615409851,0.9756483435630798,0.8291347622871399,0.5786289572715759,0.8759636282920837,0.8366497159004211
8,0.9777609705924988,0.06152418255805969,0.9876925945281982,0.9782423973083496,0.8147853016853333,0.6500401496887207,0.861846923828125,0.8270950317382812
9,0.9786580204963684,0.058440398424863815,0.988109290599823,0.979205846786499,0.8115699291229248,0.6654524803161621,0.8553672432899475,0.8294617533683777
10,0.980276346206665,0.05436776205897331,0.989141583442688,0.9806575179100037,0.824590802192688,0.6618842482566833,0.850261390209198,0.8625964522361755
11,0.9814776182174683,0.051948703825473785,0.989673912525177,0.9819718599319458,0.8191432952880859,0.6545559763908386,0.8725335001945496,0.821747899055481
12,0.9822349548339844,0.04946661740541458,0.990100085735321,0.9827081561088562,0.8237670063972473,0.6381858587265015,0.8593250513076782,0.8481767177581787
