epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.8671424388885498,0.30498793721199036,0.9155815243721008,0.8766266107559204,0.7773662209510803,0.6677283644676208,0.7952522039413452,0.8866643905639648
1,0.9578977823257446,0.11422567814588547,0.9752808809280396,0.9596117734909058,0.7954583168029785,0.726526141166687,0.8177033066749573,0.8829954266548157
2,0.9718155860900879,0.07764103263616562,0.983440637588501,0.9730648398399353,0.7961908578872681,0.9236559867858887,0.7923040986061096,0.9314345121383667
3,0.9793686866760254,0.05765845999121666,0.9879562258720398,0.9802398085594177,0.8041795492172241,1.0387213230133057,0.7954179048538208,0.9417415857315063
4,0.9831733107566833,0.04744719713926315,0.9903439879417419,0.983729362487793,0.8230041861534119,0.7734532356262207,0.8384642601013184,0.9022310972213745
5,0.9855855703353882,0.040405239909887314,0.991737961769104,0.986060380935669,0.7965916395187378,0.8791038393974304,0.8357452154159546,0.8561460971832275
6,0.987595796585083,0.035248301923274994,0.9929761290550232,0.9879230260848999,0.8042348623275757,0.9401822090148926,0.8181713223457336,0.8995164632797241
7,0.9888787865638733,0.03181076422333717,0.9935435056686401,0.9893362522125244,0.8099430799484253,0.9964461922645569,0.8154311180114746,0.9156133532524109
8,0.9898779392242432,0.02892635390162468,0.9942560195922852,0.9901631474494934,0.8189545273780823,0.9808191657066345,0.8275271654129028,0.9123473167419434
9,0.9907116293907166,0.026312358677387238,0.9946960806846619,0.9910081624984741,0.8086438775062561,1.2053563594818115,0.8029837012290955,0.9360366463661194
10,0.9915511608123779,0.024246353656053543,0.9951992034912109,0.9917988181114197,0.8168260455131531,1.1664490699768066,0.8060968518257141,0.94664067029953
