epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.49258124828338623,0.693210244178772,0.4958004653453827,0.3199474513530731,0.5046584010124207,0.6931294798851013,0.5046584010124207,1.0
1,0.49734747409820557,0.6931796669960022,0.5028409361839294,0.3778325021266937,0.5046584010124207,0.6931102871894836,0.5046584010124207,1.0
2,0.4992539882659912,0.6931885480880737,0.5033602118492126,0.6148415803909302,0.5046584010124207,0.6931446194648743,0.5046584010124207,1.0
3,0.5007460117340088,0.6931890845298767,0.5051204562187195,0.5506485104560852,0.49534162878990173,0.6931538581848145,0.0,0.0
4,0.4986322820186615,0.6931782960891724,0.5027494430541992,0.6155678033828735,0.5046584010124207,0.6931455731391907,0.5046584010124207,1.0
5,0.49705734848976135,0.6931911706924438,0.5017950534820557,0.5049675703048706,0.49534162878990173,0.6931493282318115,0.0,0.0
6,0.5016578435897827,0.6931660175323486,0.5100355744361877,0.32958462834358215,0.5046584010124207,0.6931124925613403,0.5046584010124207,1.0
7,0.49917107820510864,0.6931805610656738,0.5021582841873169,0.9169129729270935,0.49534162878990173,0.693157970905304,0.0,0.0
8,0.500455915927887,0.6931607127189636,0.5127016305923462,0.2088020294904709,0.5046584010124207,0.6931041479110718,0.5046584010124207,1.0
9,0.5035642981529236,0.6931700110435486,0.5052787065505981,0.7860075831413269,0.49534162878990173,0.6931853890419006,0.0,0.0
10,0.49394893646240234,0.6931940913200378,0.4984472095966339,0.42174413800239563,0.49534162878990173,0.6931716799736023,0.0,0.0
11,0.5,0.6931524872779846,0.52004075050354,0.125677227973938,0.5046584010124207,0.693103551864624,0.5046584010124207,1.0
12,0.502072274684906,0.6931899785995483,0.5040213465690613,0.8541051149368286,0.5046584010124207,0.6931366324424744,0.5046584010124207,1.0
13,0.5025696158409119,0.6931729316711426,0.5060593485832214,0.6102627515792847,0.5046584010124207,0.6931201219558716,0.5046584010124207,1.0
14,0.5036057829856873,0.6931609511375427,0.5047932267189026,0.8818652033805847,0.49534162878990173,0.6932214498519897,0.0,0.0
15,0.4975132644176483,0.6931784749031067,0.5078125,0.14411233365535736,0.5046584010124207,0.6931206583976746,0.5046584010124207,1.0
16,0.5000829100608826,0.6931667923927307,0.5036240220069885,0.695748507976532,0.49534162878990173,0.6931840181350708,0.0,0.0
17,0.49668434262275696,0.693177342414856,0.5057123899459839,0.12358351051807404,0.5046584010124207,0.6931251883506775,0.5046584010124207,1.0
18,0.4976375997066498,0.6931782364845276,0.5014664530754089,0.8142704367637634,0.49534162878990173,0.6931560635566711,0.0,0.0
19,0.497927725315094,0.6931661367416382,0.5077024698257446,0.18934668600559235,0.5046584010124207,0.6931092739105225,0.5046584010124207,1.0
20,0.5040202140808105,0.6931807994842529,0.5049588084220886,0.8862796425819397,0.49534162878990173,0.6932300925254822,0.0,0.0
21,0.49780339002609253,0.693172037601471,0.5094339847564697,0.14186027646064758,0.5046584010124207,0.693120002746582,0.5046584010124207,1.0
